# Wavelength [nm], Diffuse Reflectance
350.000000000000000,0.964450947230451
351.000000000000000,0.962700533989329
352.000000000000000,0.966170366320215
353.000000000000000,0.966995255261337
354.000000000000000,0.966121814720025
355.000000000000000,0.969324011967542
356.000000000000000,0.968515170827188
357.000000000000000,0.967189769156894
358.000000000000000,0.968290334773776
359.000000000000000,0.969444376364626
360.000000000000000,0.969909196357245
361.000000000000000,0.968977544068903
362.000000000000000,0.968742860080507
363.000000000000000,0.969718395410719
364.000000000000000,0.970130152602217
365.000000000000000,0.970352924756704
366.000000000000000,0.970544958562990
367.000000000000000,0.969603844545455
368.000000000000000,0.970519712169951
369.000000000000000,0.970904939938287
370.000000000000000,0.969888186472698
371.000000000000000,0.969493707795271
372.000000000000000,0.970468849667407
373.000000000000000,0.971181561965337
374.000000000000000,0.972264389668209
375.000000000000000,0.972022550506059
376.000000000000000,0.971244337484656
377.000000000000000,0.970774600959668
378.000000000000000,0.973526230588361
379.000000000000000,0.971129393180514
380.000000000000000,0.970674591330807
381.000000000000000,0.971821103969485
382.000000000000000,0.971610597385645
383.000000000000000,0.971098385276629
384.000000000000000,0.971039796603363
385.000000000000000,0.971856407513314
386.000000000000000,0.972585083707159
387.000000000000000,0.971518094102320
388.000000000000000,0.971900777794236
389.000000000000000,0.971961507238448
390.000000000000000,0.971751783281730
391.000000000000000,0.971550473006476
392.000000000000000,0.972120745045383
393.000000000000000,0.972705880068132
394.000000000000000,0.973045603602944
395.000000000000000,0.972453420472539
396.000000000000000,0.972057523596844
397.000000000000000,0.972361692859755
398.000000000000000,0.973152496684222
399.000000000000000,0.972738418726546
400.000000000000000,0.972682493201785
401.000000000000000,0.973647680024310
402.000000000000000,0.973116988026930
403.000000000000000,0.973357000863897
404.000000000000000,0.973658270888378
405.000000000000000,0.973253184504918
406.000000000000000,0.973807326096582
407.000000000000000,0.973954422731602
408.000000000000000,0.973940264737636
409.000000000000000,0.973742749772739
410.000000000000000,0.973441288070721
411.000000000000000,0.973799022470943
412.000000000000000,0.973933916444388
413.000000000000000,0.973861318689442
414.000000000000000,0.974434255479287
415.000000000000000,0.974392221752468
416.000000000000000,0.974316707541618
417.000000000000000,0.974167717052483
418.000000000000000,0.973922495095963
419.000000000000000,0.974147726519185
420.000000000000000,0.974406567061929
421.000000000000000,0.974025646551199
422.000000000000000,0.974147318164432
423.000000000000000,0.974424743927155
424.000000000000000,0.974384909776798
425.000000000000000,0.975192362810461
426.000000000000000,0.974771513321581
427.000000000000000,0.974548354220551
428.000000000000000,0.974941923243165
429.000000000000000,0.974876425488258
430.000000000000000,0.974618219142493
431.000000000000000,0.974692469542465
432.000000000000000,0.974835320865675
433.000000000000000,0.974541124013346
434.000000000000000,0.975136161596863
435.000000000000000,0.975611367777067
436.000000000000000,0.975576294859244
437.000000000000000,0.975150226522493
438.000000000000000,0.975078162867059
439.000000000000000,0.975146572288712
440.000000000000000,0.975144813888212
441.000000000000000,0.975026321888719
442.000000000000000,0.974985625712792
443.000000000000000,0.975334927367349
444.000000000000000,0.975312397382943
445.000000000000000,0.975734344308789
446.000000000000000,0.975080765723230
447.000000000000000,0.974925670287796
448.000000000000000,0.975107910799834
449.000000000000000,0.975019857287139
450.000000000000000,0.975524710076338
451.000000000000000,0.975291104015341
452.000000000000000,0.975109228562012
453.000000000000000,0.975137174389934
454.000000000000000,0.975277727238997
455.000000000000000,0.975249535110517
456.000000000000000,0.975330199313484
457.000000000000000,0.975245133864569
458.000000000000000,0.975403996194234
459.000000000000000,0.975576745514410
460.000000000000000,0.975218530740761
461.000000000000000,0.975415012230637
462.000000000000000,0.975147433828482
463.000000000000000,0.975059460048164
464.000000000000000,0.975206712303418
465.000000000000000,0.975551290511657
466.000000000000000,0.975259370150404
467.000000000000000,0.975484719642978
468.000000000000000,0.975681410897206
469.000000000000000,0.975755116891699
470.000000000000000,0.975710623015545
471.000000000000000,0.975833184516655
472.000000000000000,0.975763058748049
473.000000000000000,0.975655389312586
474.000000000000000,0.975381456242798
475.000000000000000,0.975467451227569
476.000000000000000,0.975813260188322
477.000000000000000,0.975828560753132
478.000000000000000,0.975892468825304
479.000000000000000,0.975756048239271
480.000000000000000,0.975459109747326
481.000000000000000,0.975807954443631
482.000000000000000,0.976120129814960
483.000000000000000,0.976004202764685
484.000000000000000,0.975928006412692
485.000000000000000,0.976341728309201
486.000000000000000,0.976487834286448
487.000000000000000,0.976316250253748
488.000000000000000,0.976377512605354
489.000000000000000,0.976459875491301
490.000000000000000,0.976468824266322
491.000000000000000,0.976356084728507
492.000000000000000,0.976664773982141
493.000000000000000,0.976537201572838
494.000000000000000,0.976213188172398
495.000000000000000,0.976391123183101
496.000000000000000,0.976567201756977
497.000000000000000,0.976472347666509
498.000000000000000,0.976223124190121
499.000000000000000,0.976107503336385
500.000000000000000,0.976339848408450
501.000000000000000,0.976360136063482
502.000000000000000,0.976089362524113
503.000000000000000,0.975933162152252
504.000000000000000,0.975973025497836
505.000000000000000,0.975870246194521
506.000000000000000,0.975929964246153
507.000000000000000,0.976252379194603
508.000000000000000,0.976121585396757
509.000000000000000,0.975967170374714
510.000000000000000,0.976116699735611
511.000000000000000,0.976048943023701
512.000000000000000,0.975882133280114
513.000000000000000,0.976112651357727
514.000000000000000,0.976351359079507
515.000000000000000,0.976121543816061
516.000000000000000,0.976091639874456
517.000000000000000,0.976003164794119
518.000000000000000,0.975897446092434
519.000000000000000,0.975932081516719
520.000000000000000,0.976068366330423
521.000000000000000,0.976205189006549
522.000000000000000,0.976025902797055
